questions	answers
Where does B. D. Hyman's mother work at?	Hyman is.
Where did the director of film No Sin On The Alpine Pastures (1950 Film) die?	Wayne County, Georgia.
Did Dwight Harwood and Velvet (Singer) have the same nationality?	North Carolina poet, he wrote a number of books and essays.
Where did the director of film Free Lips die?	69 Sexy Things 2 Do Before You Die
What is the place of birth of the director of film Breed Of The Border (1924 Film)?	Shimla
Which film has the director died later, Hombisilu or O Sport, You Are Peace!?	Hombisilu.
When is the director of film The Red And The Blue (Film) 's birthday?	[Final Answer]: December 10, 2017
Who is older, Kevin Hennessy or Emilia Bayer?	[Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final
Which film has the director who was born first, The Latin Immigrant or Racing Lady?	Racing Lady.
Where was the place of death of Anna Of Saxe-Wittenberg's father?	1037.
Where did the director of film Terminal Entry study?	Indian Institute of Advanced Study
Which film has the director born first, Betrayal From The East or The Magnificent Beast?	The Magnificent Beast
Do both Dreams In A Drawer and Tifosi (Film) films have the directors from the same country?	[Final Answer]: no.
Which film has the director who died earlier, Moonlight And Pretzels or Husmandstøsen?	Moonlight And Pretzels
Who is Philippe, Duke Of Anjou's maternal grandfather?	Valois and Chartres.
What is the place of birth of the director of film Smile, Brother, Smile?	Lower Lorraine
Who is the paternal grandfather of Ray Knight (Rodeo Organizer)?	John Mulkey.
Who is Zwelonke Sigcawu's paternal grandfather?	Final Answer: [Final Answer]: Michelle Feldman.
Where was the director of film Medal Of Honor (Film) born?	[Final Answer]: London, England.
Where was the place of death of the composer of song The Old Master Painter?	Diego Voci.
Who is Rani Mukerji's father-in-law?	Chidi Godson Njoku-Ani.
Who was born later, H. Hawkline or Jimmy Kennedy?	John Mulkey was the first to achieve a B/SR (B Street) championship in 1956.
Where did the composer of song Let'S Call The Whole Thing Off die?	The Beatles.
What is the place of birth of the director of film Crystal Nights?	Sarasota Bay.
Which film has the director died later, The True Story Of Eskimo Nell or Flame Of Stamboul?	Flame Of Stamboul.
Which film has the director born later, The Mystic Masseur or The Rewrite?	The Rewrite
When was the director of film Slap Her... She'S French born?	[Final Answer]: April 19, 1976.
Are Hopen Church and Spind Church located in the same country?	No. Hopen Church is located in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the Church of England in the
Do director of film Njaan and director of film Oorummadi Brathukulu share the same nationality?	No.
Where did the composer of song The Shepherd On The Rock die?	"He wrote ""The Three Legends Live at the Division Street Grill"" and ""The Three Legends Live at the Division Street Grill"" in 1961."
Where was the place of death of the founder of Western Auto?	Canadian
Which school was opened first, Carlisle School or Triam Udom Suksa School?	Carlisle School
What is the place of birth of the composer of film The Charming Young Lady (Film)?	Funen.
Where did Beatrice Of Bohemia's husband die?	Victoria League.
What is the place of birth of the director of film The Admirer?	Gothelo II.
Who is Archduchess Maria Antonia Of Austria (1899–1977)'s maternal grandfather?	Langhorne's daughter Nancy Astor.
Where did the director of film Carbon (Film) study?	University of California Los Angeles
What is the place of birth of the director of film The Merry Wives?	Order of St. Bernard.
Who died later, Henry Norrström or Wilford Bacon Hoggatt?	Charles Grey.
Where was the place of death of the composer of song Love Is Here To Stay?	The album art was first shown in May 2017 during the opening concert of the Joshua Tree Tour 2017, when it was displayed on the stage's video screen after a performance of The Little Things That Give You Away ''.
Which film was released first, Failure To Launch or Mako: The Jaws Of Death?	Mako: The Jaws Of Death
Where does Bernhard Bielenstein's father work at?	Nazi-era Nazi fighter pilot.
What is the place of birth of Frederick, Prince Of Hohenzollern's mother?	London
Where was the place of death of the performer of song Northwest Passage (Song)?	Randall Miller, and Michael Sarrazin.
Where was the director of film Pistol Whipped born?	Auburn, NY.
Which country Roman Smoluchowski's father is from?	"Michelle Feldman was named 2002 PWBA Player of the Year, and was also honored as the"" Bowling Digest"" Bowler of the Year in 2002."
Which film has the director who died later, Akhono Onek Raat or Bitter Rice?	Bitter Rice.
Which film has the director died later, Five Deadly Venoms or Asthram?	The film was a drama that starred Deepika Padukone and Ranveer Singh.
Where did the director of film The Bride Came C.O.D. die?	Randall Miller
Where was the director of film Code Name: The Cleaner born?	[Final Answer]: New York City.
Which country the director of film The Notebooks Of Memory is from?	"The style of the bowler is a high-powered, high- rev"" cranker"" delivery."
Which film was released first, Ryan'S Daughter or A Day At The Museum?	Ryan'S Daughter
Are Liverpool Boys High School and St Stephen'S School, Perth located in the same country?	no
Do both directors of films Kangaroo Jack and Executive Action (Film) have the same nationality?	yes
Which film whose director was born first, The Snake Brothers or Olympus Has Fallen?	The Snake Brothers
Where did Sholto Douglas, 15Th Earl Of Morton's father study?	[Final Answer]: University of California Los Angeles.
Who is the child-in-law of Marie De Namur?	[Final Answer]: [Final Answer]: Marie of Namur.
Where did Princess Margarita Of Greece And Denmark's mother die?	Gethsemane
What is the place of birth of the director of film Tammy And The T-Rex?	Bradford.
What is the place of birth of the director of film Winds Of The Pampas?	Spanish control was largely confined to the area of Mobile and the Tombigbee River.
